,Date,Close,High,Low,Open,Volume,Symbol
61,2025-01-21,1267.88623046875,1307.6275349115406,1264.4998527383368,1304.7888963623534,1210468,RELIANCE.BO
62,2025-01-22,1272.2191162109375,1277.7968158260599,1263.7529280997617,1273.9123051992797,2201402,RELIANCE.BO
63,2025-01-23,1258.822509765625,1272.1692302543527,1256.5317318810075,1269.6791749984232,235409,RELIANCE.BO
64,2025-01-24,1240.9439697265625,1268.0357224532463,1239.0515034028115,1261.8604340123013,430797,RELIANCE.BO
65,2025-01-27,1224.4100341796875,1235.5155834903098,1215.1968296191258,1234.9678442780878,411760,RELIANCE.BO
66,2025-01-28,1228.89208984375,1239.2008940456262,1214.051336548018,1231.680878714431,364260,RELIANCE.BO
67,2025-01-29,1230.8841552734375,1237.8064602090112,1223.5632955976594,1232.3781884179264,358148,RELIANCE.BO
68,2025-01-30,1248.61328125,1251.6013475524096,1227.3482337147966,1230.0872944920054,462230,RELIANCE.BO
69,2025-01-31,1259.868408203125,1260.9640082219164,1244.529643185849,1252.3982422776398,412707,RELIANCE.BO
70,2025-02-01,1259.619384765625,1264.898228993752,1236.5614486198037,1259.9679681869125,266300,RELIANCE.BO
71,2025-02-03,1240.1968994140625,1250.9041366202578,1233.0753173274156,1245.0275821157265,396687,RELIANCE.BO
72,2025-02-04,1280.8843994140625,1283.8724656646395,1241.6909547442713,1242.089387894627,397483,RELIANCE.BO
73,2025-02-05,1272.966064453125,1284.8684796422774,1271.07359818942,1279.8385195183143,355650,RELIANCE.BO
74,2025-02-06,1276.4521484375,1282.229003565054,1265.7449110508285,1271.5217661783824,160168,RELIANCE.BO
75,2025-02-07,1261.810546875,1279.6393664118496,1256.9798641072225,1261.412113726325,375026,RELIANCE.BO
76,2025-02-10,1248.4141845703125,1260.9640393176646,1240.8941687193187,1258.772839226046,539885,RELIANCE.BO
77,2025-02-11,1229.6888427734375,1258.3743274774752,1225.1071654958457,1258.0257440644014,554854,RELIANCE.BO
78,2025-02-12,1210.864013671875,1222.9657064572052,1188.9017994023106,1215.0971075805692,596942,RELIANCE.BO
79,2025-02-13,1211.362060546875,1223.0653205229266,1207.3282438889476,1214.1011213923339,360188,RELIANCE.BO
80,2025-02-14,1212.1090087890625,1219.4298682673352,1201.2026157624232,1215.1469247347895,358010,RELIANCE.BO
81,2025-02-17,1219.8780517578125,1222.3182572384808,1200.3560431582828,1210.913852969635,207944,RELIANCE.BO
82,2025-02-18,1220.0772705078125,1225.0573812027048,1211.5613541703865,1220.3761257833994,206583,RELIANCE.BO
83,2025-02-19,1222.0692138671875,1227.896040166819,1212.7564319537357,1217.885969862824,110206,RELIANCE.BO
84,2025-02-20,1228.1451416015625,1234.4698578388065,1218.1350705157613,1221.3721424529454,206262,RELIANCE.BO
85,2025-02-21,1222.8162841796875,1235.017554911109,1217.4875902588287,1225.057333905867,907589,RELIANCE.BO
86,2025-02-24,1209.9178466796875,1218.1350290094733,1205.7843306453342,1214.5493737643308,477209,RELIANCE.BO
87,2025-02-25,1199.111083984375,1216.1430383370127,1196.2225954486096,1209.1210335849569,881729,RELIANCE.BO
88,2025-02-27,1202.24853515625,1210.1668622879458,1196.2225527636401,1208.7226788639632,193166,RELIANCE.BO
89,2025-02-28,1194.828125,1212.5573675800767,1188.553258520449,1196.2225803014778,437656,RELIANCE.BO
90,2025-03-03,1166.44140625,1204.9875327939867,1151.4014975112186,1204.9875327939867,542446,RELIANCE.BO
91,2025-03-04,1157.078857421875,1169.429556125575,1154.6386518422562,1160.3657790780492,286826,RELIANCE.BO
92,2025-03-05,1171.072998046875,1178.3440080975158,1153.3936055609452,1157.3776940084786,348560,RELIANCE.BO
